Date,Close Sentiment,Sample Time1,Price Close,Sample Time2,VIX Close,headers
10/10/2019,33,10/10/2019,7950.779785,10/10/2019,17.56999969,
11/10/2019,28,11/10/2019,8057.040039,11/10/2019,15.57999992,
13/10/2019,29,,,,,
14/10/2019,28,14/10/2019,8048.649902,14/10/2019,14.56999969,
15/10/2019,23,15/10/2019,8148.709961,15/10/2019,13.53999996,
16/10/2019,28,16/10/2019,8124.180176,16/10/2019,13.68000031,
17/10/2019,28,17/10/2019,8156.850098,17/10/2019,13.78999996,
18/10/2019,30,18/10/2019,8089.540039,18/10/2019,14.25,
20/10/2019,30,,,,,
21/10/2019,26,21/10/2019,8162.990234,21/10/2019,14,
22/10/2019,35,22/10/2019,8104.299805,22/10/2019,14.46000004,
23/10/2019,32,23/10/2019,8119.790039,23/10/2019,14.01000023,
24/10/2019,26,24/10/2019,8185.799805,24/10/2019,13.71000004,
25/10/2019,19,25/10/2019,8243.120117,25/10/2019,12.64999962,
27/10/2019,20,,,,,
28/10/2019,21,28/10/2019,8325.990234,28/10/2019,13.10999966,
29/10/2019,27,29/10/2019,8276.849609,29/10/2019,13.19999981,
30/10/2019,25,30/10/2019,8303.980469,30/10/2019,12.32999992,
31/10/2019,22,31/10/2019,8292.360352,31/10/2019,13.22000027,
01/11/2019,21,01/11/2019,8386.400391,01/11/2019,12.30000019,
03/11/2019,22,,,,,
04/11/2019,24,04/11/2019,8433.200195,04/11/2019,12.82999992,
05/11/2019,22,05/11/2019,8434.679688,05/11/2019,13.10000038,
06/11/2019,24,06/11/2019,8410.629883,06/11/2019,12.61999989,
07/11/2019,23,07/11/2019,8434.519531,07/11/2019,12.72999954,
08/11/2019,22,08/11/2019,8475.30957,08/11/2019,12.06999969,
10/11/2019,22,,,,,
11/11/2019,23,11/11/2019,8464.280273,11/11/2019,12.68999958,
12/11/2019,23,12/11/2019,8486.089844,12/11/2019,12.68000031,
13/11/2019,20,13/11/2019,8482.099609,13/11/2019,13,
14/11/2019,22,14/11/2019,8479.019531,14/11/2019,13.05000019,
15/11/2019,20,15/11/2019,8540.830078,15/11/2019,12.05000019,
17/11/2019,19,,,,,
18/11/2019,20,18/11/2019,8549.94043,18/11/2019,12.46000004,
19/11/2019,21,19/11/2019,8570.660156,19/11/2019,12.85999966,
20/11/2019,21,20/11/2019,8526.730469,20/11/2019,12.77999973,
21/11/2019,25,21/11/2019,8506.209961,21/11/2019,13.13000011,
22/11/2019,24,22/11/2019,8519.879883,22/11/2019,12.34000015,
24/11/2019,23,,,,,
25/11/2019,21,25/11/2019,8632.490234,25/11/2019,11.86999989,
26/11/2019,21,26/11/2019,8647.929688,26/11/2019,11.53999996,
27/11/2019,21,27/11/2019,8705.179688,27/11/2019,11.75,
28/11/2019,22,,,,,
29/11/2019,22,29/11/2019,8665.469727,29/11/2019,12.61999989,
01/12/2019,23,,,,,
02/12/2019,26,02/12/2019,8567.990234,02/12/2019,14.90999985,
03/12/2019,29,03/12/2019,8520.639648,03/12/2019,15.96000004,
04/12/2019,30,04/12/2019,8566.669922,04/12/2019,14.80000019,
05/12/2019,29,05/12/2019,8570.700195,05/12/2019,14.52000046,
06/12/2019,25,06/12/2019,8656.530273,06/12/2019,13.61999989,
08/12/2019,25,,,,,
09/12/2019,25,09/12/2019,8621.830078,09/12/2019,15.85999966,
10/12/2019,26,10/12/2019,8616.179688,10/12/2019,15.68000031,
11/12/2019,25,11/12/2019,8654.049805,11/12/2019,14.98999977,
12/12/2019,27,12/12/2019,8717.320313,12/12/2019,13.93999958,
13/12/2019,23,13/12/2019,8734.879883,13/12/2019,12.63000011,
15/12/2019,24,,,,,
16/12/2019,22,16/12/2019,8814.230469,16/12/2019,12.14000034,
17/12/2019,27,17/12/2019,8823.360352,17/12/2019,12.28999996,
18/12/2019,23,18/12/2019,8827.740234,18/12/2019,12.57999992,
19/12/2019,23,19/12/2019,8887.219727,19/12/2019,12.5,
20/12/2019,23,20/12/2019,8924.959961,20/12/2019,12.51000023,
22/12/2019,23,,,,,
23/12/2019,25,23/12/2019,8945.650391,23/12/2019,12.60999966,
24/12/2019,24,24/12/2019,8952.879883,24/12/2019,12.67000008,
25/12/2019,24,,,,,
26/12/2019,24,26/12/2019,9022.389648,26/12/2019,12.64999962,
27/12/2019,23,27/12/2019,9006.620117,27/12/2019,13.43000031,
29/12/2019,25,,,,,
30/12/2019,24,30/12/2019,8945.990234,30/12/2019,14.81999969,
31/12/2019,24,31/12/2019,8972.599609,31/12/2019,13.77999973,
01/01/2020,25,,,,,
02/01/2020,24,02/01/2020,9092.19043,02/01/2020,12.47000027,
03/01/2020,24,03/01/2020,9020.769531,03/01/2020,14.02000046,
05/01/2020,24,,,,,
06/01/2020,23,06/01/2020,9071.469727,06/01/2020,13.85000038,
07/01/2020,25,07/01/2020,9068.580078,07/01/2020,13.78999996,
08/01/2020,22,08/01/2020,9129.240234,08/01/2020,13.44999981,
09/01/2020,27,09/01/2020,9203.429688,09/01/2020,12.53999996,
10/01/2020,27,10/01/2020,9178.860352,10/01/2020,12.56000042,
12/01/2020,27,,,,,
13/01/2020,28,13/01/2020,9273.929688,13/01/2020,12.31999969,
14/01/2020,31,14/01/2020,9251.330078,14/01/2020,12.39000034,
15/01/2020,30,15/01/2020,9258.700195,15/01/2020,12.42000008,
16/01/2020,28,16/01/2020,9357.129883,16/01/2020,12.31999969,
17/01/2020,27,17/01/2020,9388.94043,17/01/2020,12.10000038,
19/01/2020,26,,,,,
20/01/2020,28,,,,,
21/01/2020,28,21/01/2020,9370.80957,21/01/2020,12.85000038,
22/01/2020,26,,,,,
23/01/2020,28,22/01/2020,9383.769531,22/01/2020,12.90999985,
24/01/2020,27,23/01/2020,9402.480469,23/01/2020,12.97999954,
26/01/2020,26,24/01/2020,9314.910156,24/01/2020,14.56000042,
27/01/2020,35,27/01/2020,9139.30957,27/01/2020,18.22999954,
28/01/2020,32,28/01/2020,9269.679688,28/01/2020,16.28000069,
29/01/2020,34,29/01/2020,9275.160156,29/01/2020,16.38999939,
30/01/2020,27,30/01/2020,9298.929688,30/01/2020,15.48999977,
31/01/2020,32,31/01/2020,9150.94043,31/01/2020,18.84000015,
02/02/2020,33,,,,,
03/02/2020,28,03/02/2020,9273.400391,03/02/2020,17.96999931,
04/02/2020,24,04/02/2020,9467.969727,04/02/2020,16.04999924,
05/02/2020,33,05/02/2020,9508.679688,05/02/2020,15.14999962,
06/02/2020,29,06/02/2020,9572.150391,06/02/2020,14.96000004,
07/02/2020,27,07/02/2020,9520.509766,07/02/2020,15.47000027,
09/02/2020,28,,,,,
10/02/2020,28,10/02/2020,9628.389648,10/02/2020,15.03999996,
11/02/2020,31,11/02/2020,9638.94043,11/02/2020,15.18000031,
12/02/2020,30,12/02/2020,9725.959961,12/02/2020,13.73999977,
13/02/2020,27,13/02/2020,9711.969727,13/02/2020,14.14999962,
14/02/2020,28,14/02/2020,9731.179688,14/02/2020,13.68000031,
16/02/2020,29,,,,,
17/02/2020,30,,,,,
18/02/2020,32,18/02/2020,9732.740234,18/02/2020,14.82999992,
19/02/2020,30,19/02/2020,9817.179688,19/02/2020,14.38000011,
20/02/2020,35,20/02/2020,9750.969727,20/02/2020,15.56000042,
21/02/2020,40,21/02/2020,9576.589844,21/02/2020,17.07999992,
23/02/2020,40,,,,,
24/02/2020,52,24/02/2020,9221.280273,24/02/2020,25.03000069,
25/02/2020,56,25/02/2020,8965.610352,25/02/2020,27.85000038,
26/02/2020,54,26/02/2020,8980.780273,26/02/2020,27.55999947,
27/02/2020,61,27/02/2020,8566.480469,27/02/2020,39.15999985,
28/02/2020,56,28/02/2020,8567.370117,28/02/2020,40.11000061,
01/03/2020,56,,,,,
02/03/2020,49,02/03/2020,8952.169922,02/03/2020,33.41999817,
03/03/2020,54,03/03/2020,8684.089844,03/03/2020,36.81999969,
04/03/2020,44,04/03/2020,9018.089844,04/03/2020,31.98999977,
05/03/2020,52,05/03/2020,8738.589844,05/03/2020,39.61999893,
06/03/2020,52,06/03/2020,8575.620117,06/03/2020,41.93999863,
08/03/2020,55,,,,,
09/03/2020,56,09/03/2020,7950.680176,09/03/2020,54.45999908,
10/03/2020,49,10/03/2020,8344.25,10/03/2020,47.29999924,
11/03/2020,56,11/03/2020,7952.049805,11/03/2020,53.90000153,
12/03/2020,60,12/03/2020,7201.799805,12/03/2020,75.47000122,
13/03/2020,44,13/03/2020,7874.879883,13/03/2020,57.83000183,
15/03/2020,49,,,,,
16/03/2020,64,16/03/2020,6904.589844,16/03/2020,82.69000244,
17/03/2020,53,17/03/2020,7334.779785,17/03/2020,75.91000366,
18/03/2020,58,18/03/2020,6989.839844,18/03/2020,76.44999695,
19/03/2020,60,19/03/2020,7150.580078,19/03/2020,72,
20/03/2020,63,20/03/2020,6879.52002,20/03/2020,66.04000092,
22/03/2020,61,,,,,
23/03/2020,64,23/03/2020,6860.669922,23/03/2020,61.59000015,
24/03/2020,49,24/03/2020,7417.859863,24/03/2020,61.66999817,
25/03/2020,52,25/03/2020,7384.299805,25/03/2020,63.95000076,
26/03/2020,38,26/03/2020,7797.540039,26/03/2020,61,
27/03/2020,43,27/03/2020,7502.379883,27/03/2020,65.54000092,
29/03/2020,47,,,,,
30/03/2020,34,30/03/2020,7774.149902,30/03/2020,57.08000183,
31/03/2020,41,31/03/2020,7700.100098,31/03/2020,53.54000092,
01/04/2020,51,01/04/2020,7360.580078,01/04/2020,57.06000137,
02/04/2020,45,02/04/2020,7487.310059,02/04/2020,50.90999985,
03/04/2020,47,03/04/2020,7373.080078,03/04/2020,46.79999924,
05/04/2020,45,,,,,
06/04/2020,39,06/04/2020,7913.240234,06/04/2020,45.24000168,
07/04/2020,45,07/04/2020,7887.259766,07/04/2020,46.70000076,
08/04/2020,40,08/04/2020,8090.899902,08/04/2020,43.34999847,
09/04/2020,39,09/04/2020,8153.580078,09/04/2020,41.66999817,
10/04/2020,40,,,,,
12/04/2020,40,,,,,
13/04/2020,35,13/04/2020,8192.419922,13/04/2020,41.16999817,
14/04/2020,30,14/04/2020,8515.740234,14/04/2020,37.75999832,
15/04/2020,32,15/04/2020,8393.179688,15/04/2020,40.84000015,
16/04/2020,33,16/04/2020,8532.360352,16/04/2020,40.11000061,
17/04/2020,37,17/04/2020,8650.139648,17/04/2020,38.15000153,
19/04/2020,37,,,,,
20/04/2020,36,20/04/2020,8560.730469,20/04/2020,43.83000183,
21/04/2020,45,21/04/2020,8263.230469,21/04/2020,45.40999985,
22/04/2020,38,22/04/2020,8495.379883,22/04/2020,41.97999954,
23/04/2020,40,23/04/2020,8494.75,23/04/2020,41.38000107,
24/04/2020,34,24/04/2020,8634.519531,24/04/2020,35.93000031,
26/04/2020,35,,,,,
27/04/2020,40,27/04/2020,8730.160156,27/04/2020,33.29000092,
28/04/2020,45,28/04/2020,8607.730469,28/04/2020,33.56999969,
29/04/2020,33,29/04/2020,8914.709961,29/04/2020,31.22999954,
30/04/2020,38,30/04/2020,8889.549805,30/04/2020,34.15000153,
01/05/2020,44,01/05/2020,8604.950195,01/05/2020,37.18999863,
03/05/2020,43,,,,,
04/05/2020,41,04/05/2020,8710.709961,04/05/2020,35.97000122,
05/05/2020,36,05/05/2020,8809.120117,05/05/2020,33.61000061,
06/05/2020,34,06/05/2020,8854.389648,06/05/2020,34.11999893,
07/05/2020,33,07/05/2020,8979.660156,07/05/2020,31.44000053,
08/05/2020,33,08/05/2020,9121.320313,08/05/2020,27.97999954,
10/05/2020,35,,,,,
11/05/2020,29,11/05/2020,9192.339844,11/05/2020,27.56999969,
12/05/2020,36,12/05/2020,9002.549805,12/05/2020,33.04000092,
13/05/2020,42,13/05/2020,8863.169922,13/05/2020,35.27999878,
14/05/2020,41,14/05/2020,8943.719727,14/05/2020,32.61000061,
15/05/2020,38,15/05/2020,9014.55957,15/05/2020,31.88999939,
17/05/2020,39,,,,,
18/05/2020,36,18/05/2020,9234.830078,18/05/2020,29.29999924,
19/05/2020,33,19/05/2020,9185.099609,19/05/2020,30.53000069,
20/05/2020,30,20/05/2020,9375.780273,20/05/2020,27.98999977,
21/05/2020,39,21/05/2020,9284.879883,21/05/2020,29.53000069,
22/05/2020,36,22/05/2020,9324.589844,22/05/2020,28.15999985,
24/05/2020,37,,,,,
25/05/2020,33,,,,,
26/05/2020,40,26/05/2020,9340.219727,26/05/2020,28.01000023,
27/05/2020,42,27/05/2020,9412.360352,27/05/2020,27.62000084,
28/05/2020,35,28/05/2020,9368.990234,28/05/2020,28.59000015,
29/05/2020,33,29/05/2020,9489.870117,29/05/2020,27.51000023,
31/05/2020,35,,,,,
01/06/2020,28,01/06/2020,9552.049805,01/06/2020,28.22999954,
02/06/2020,33,02/06/2020,9608.379883,02/06/2020,26.84000015,
03/06/2020,34,03/06/2020,9682.910156,03/06/2020,25.65999985,
04/06/2020,35,04/06/2020,9615.80957,04/06/2020,25.80999947,
05/06/2020,30,05/06/2020,9814.080078,05/06/2020,24.52000046,
07/06/2020,34,,,,,
08/06/2020,37,08/06/2020,9924.75,08/06/2020,25.80999947,
09/06/2020,29,09/06/2020,9953.75,09/06/2020,27.56999969,
10/06/2020,28,10/06/2020,10020.34961,10/06/2020,27.56999969,
11/06/2020,44,11/06/2020,9492.730469,11/06/2020,40.79000092,
12/06/2020,42,12/06/2020,9588.80957,12/06/2020,36.09000015,
14/06/2020,44,,,,,
15/06/2020,44,15/06/2020,9726.019531,15/06/2020,34.40000153,
16/06/2020,42,16/06/2020,9895.870117,16/06/2020,33.66999817,
17/06/2020,40,17/06/2020,9910.530273,17/06/2020,33.47000122,
18/06/2020,38,18/06/2020,9943.049805,18/06/2020,32.93999863,
19/06/2020,32,19/06/2020,9946.120117,19/06/2020,35.11999893,
21/06/2020,35,,,,,
22/06/2020,30,22/06/2020,10056.48047,22/06/2020,31.77000046,
23/06/2020,32,23/06/2020,10131.37012,23/06/2020,31.37000084,
24/06/2020,41,24/06/2020,9909.169922,24/06/2020,33.84000015,
25/06/2020,42,25/06/2020,10017,25/06/2020,32.22000122,
26/06/2020,45,26/06/2020,9757.219727,26/06/2020,34.72999954,
28/06/2020,46,,,,,
29/06/2020,46,29/06/2020,9874.150391,29/06/2020,31.78000069,
30/06/2020,34,30/06/2020,10058.76953,30/06/2020,30.43000031,
01/07/2020,26,01/07/2020,10154.62988,01/07/2020,28.62000084,
02/07/2020,27,02/07/2020,10207.62988,02/07/2020,27.68000031,
03/07/2020,27,,,,,
05/07/2020,28,,,,,
06/07/2020,29,06/07/2020,10433.65039,06/07/2020,27.94000053,
07/07/2020,30,07/07/2020,10343.88965,07/07/2020,29.43000031,
08/07/2020,27,08/07/2020,10492.5,08/07/2020,28.07999992,
09/07/2020,30,09/07/2020,10547.75,09/07/2020,29.26000023,
10/07/2020,27,10/07/2020,10617.44043,10/07/2020,27.29000092,
12/07/2020,29,,,,,
13/07/2020,38,13/07/2020,10390.83984,13/07/2020,32.18999863,
14/07/2020,42,14/07/2020,10488.58008,14/07/2020,29.52000046,
15/07/2020,45,15/07/2020,10550.49023,15/07/2020,27.76000023,
16/07/2020,48,16/07/2020,10473.83008,16/07/2020,28,
17/07/2020,45,17/07/2020,10503.19043,17/07/2020,25.68000031,
19/07/2020,45,,,,,
20/07/2020,34,20/07/2020,10767.08984,20/07/2020,24.45999908,
21/07/2020,42,21/07/2020,10680.36035,21/07/2020,24.84000015,
22/07/2020,46,22/07/2020,10706.12988,22/07/2020,24.31999969,
23/07/2020,54,23/07/2020,10461.41992,23/07/2020,26.07999992,
24/07/2020,54,24/07/2020,10363.17969,24/07/2020,25.84000015,
26/07/2020,53,,,,,
27/07/2020,49,27/07/2020,10536.26953,27/07/2020,24.73999977,
28/07/2020,49,28/07/2020,10402.08984,28/07/2020,25.44000053,
29/07/2020,46,29/07/2020,10542.94043,29/07/2020,24.10000038,
30/07/2020,41,30/07/2020,10587.80957,30/07/2020,24.76000023,
31/07/2020,38,31/07/2020,10745.26953,31/07/2020,24.45999908,
02/08/2020,37,,,,,
03/08/2020,31,03/08/2020,10902.7998,03/08/2020,24.28000069,
04/08/2020,29,04/08/2020,10941.16992,04/08/2020,23.76000023,
05/08/2020,37,05/08/2020,10998.40039,05/08/2020,22.98999977,
06/08/2020,32,06/08/2020,11108.07031,06/08/2020,22.64999962,
07/08/2020,35,07/08/2020,11010.98047,07/08/2020,22.20999908,
09/08/2020,36,,,,,
10/08/2020,43,10/08/2020,10968.36035,10/08/2020,22.12999916,
11/08/2020,46,11/08/2020,10782.82031,11/08/2020,24.03000069,
12/08/2020,40,12/08/2020,11012.24023,12/08/2020,22.28000069,
13/08/2020,38,13/08/2020,11042.5,13/08/2020,22.12999916,
14/08/2020,41,14/08/2020,11019.2998,14/08/2020,22.04999924,
16/08/2020,42,,,,,
17/08/2020,34,17/08/2020,11129.73047,17/08/2020,21.35000038,
18/08/2020,31,18/08/2020,11210.83984,18/08/2020,21.51000023,
19/08/2020,36,19/08/2020,11146.45996,19/08/2020,22.54000092,
20/08/2020,31,20/08/2020,11264.9502,20/08/2020,22.71999931,
21/08/2020,25,21/08/2020,11311.7998,21/08/2020,22.54000092,
23/08/2020,27,,,,,
24/08/2020,33,24/08/2020,11379.71973,24/08/2020,22.37000084,
25/08/2020,30,25/08/2020,11466.46973,25/08/2020,22.03000069,
26/08/2020,26,26/08/2020,11665.05957,26/08/2020,23.27000046,
27/08/2020,32,27/08/2020,11625.33984,27/08/2020,24.46999931,
28/08/2020,31,28/08/2020,11695.62988,28/08/2020,22.95999908,
30/08/2020,32,,,,,
31/08/2020,33,31/08/2020,11775.45996,31/08/2020,26.40999985,
01/09/2020,34,01/09/2020,11939.66992,01/09/2020,26.12000084,
02/09/2020,39,02/09/2020,12056.44043,02/09/2020,26.56999969,
03/09/2020,50,03/09/2020,11458.09961,03/09/2020,33.59999847,
04/09/2020,57,04/09/2020,11313.12988,04/09/2020,30.75,
06/09/2020,58,,,,,
07/09/2020,62,,,,,
08/09/2020,64,08/09/2020,10847.69043,08/09/2020,31.45999908,
09/09/2020,59,09/09/2020,11141.55957,09/09/2020,28.80999947,
10/09/2020,61,10/09/2020,10919.58984,10/09/2020,29.70999908,
11/09/2020,64,11/09/2020,10853.5498,11/09/2020,26.87000084,
13/09/2020,65,,,,,
14/09/2020,58,14/09/2020,11056.65039,14/09/2020,25.85000038,
15/09/2020,53,15/09/2020,11190.32031,15/09/2020,25.59000015,
16/09/2020,64,16/09/2020,11050.46973,16/09/2020,26.04000092,
17/09/2020,65,17/09/2020,10936.15234,17/09/2020,26.62999916,
